Date,HomeTeam,VisitorTeam,Time
"Tuesday, September 26, 2017",St. Louis Cardinals,Chicago Cubs,Start Time: 7:16 p.m. Local
"Tuesday, September 26, 2017",Texas Rangers,Houston Astros,Start Time: 7:07 p.m. Local
"Friday, September 29, 2017",Tampa Bay Rays,Baltimore Orioles,Start Time: 7:10 p.m. Local
"Friday, September 29, 2017",San Francisco Giants,San Diego Padres,Start Time: 7:21 p.m. Local
"Friday, September 29, 2017",Philadelphia Phillies,New York Mets,Start Time: 7:07 p.m. Local
"Friday, September 29, 2017",St. Louis Cardinals,Milwaukee Brewers,Start Time: 7:16 p.m. Local
"Friday, September 29, 2017",New York Yankees,Toronto Blue Jays,Start Time: 1:09 p.m. Local
"Friday, September 29, 2017",Kansas City Royals,Arizona Diamondbacks,Start Time: 7:15 p.m. Local
"Friday, September 29, 2017",Miami Marlins,Atlanta Braves,Start Time: 7:10 p.m. Local
"Friday, September 29, 2017",Minnesota Twins,Detroit Tigers,Start Time: 7:10 p.m. Local
"Friday, October 6, 2017",Los Angeles Dodgers,Arizona Diamondbacks,Start Time: 7:31 p.m. Local
"Friday, October 6, 2017",Houston Astros,Boston Red Sox,Start Time: 1:07 p.m. Local
"Friday, October 6, 2017",Cleveland Indians,New York Yankees,Start Time: 5:09 p.m. Local
"Thursday, October 5, 2017",Houston Astros,Boston Red Sox,Start Time: 3:10 p.m. Local
"Thursday, October 5, 2017",Cleveland Indians,New York Yankees,Start Time: 7:39 p.m. Local
"Wednesday, October 4, 2017",Arizona Diamondbacks,Colorado Rockies,Start Time: 5:08 p.m. Local
"Tuesday, October 3, 2017",New York Yankees,Minnesota Twins,Start Time: 8:10 p.m. Local
"Sunday, October 1, 2017",Washington Nationals,Pittsburgh Pirates,Start Time: 3:06 p.m. Local
"Saturday, October 28, 2017",Houston Astros,Los Angeles Dodgers,Start Time: 7:20 p.m. Local
"Friday, October 27, 2017",Houston Astros,Los Angeles Dodgers,Start Time: 7:21 p.m. Local
"Wednesday, October 25, 2017",Los Angeles Dodgers,Houston Astros,Start Time: 5:17 p.m. Local
"Tuesday, October 24, 2017",Los Angeles Dodgers,Houston Astros,Start Time: 5:11 p.m. Local
"Saturday, October 21, 2017",Houston Astros,New York Yankees,Start Time: 7:09 p.m. Local
"Friday, October 20, 2017",Houston Astros,New York Yankees,Start Time: 7:09 p.m. Local
"Thursday, October 19, 2017",Chicago Cubs,Los Angeles Dodgers,Start Time: 7:09 p.m. Local
"Wednesday, October 18, 2017",New York Yankees,Houston Astros,Start Time: 5:11 p.m. Local
"Wednesday, October 18, 2017",Chicago Cubs,Los Angeles Dodgers,Start Time: 8:01 p.m. Local
"Tuesday, October 17, 2017",New York Yankees,Houston Astros,Start Time: 5:08 p.m. Local
"Sunday, October 29, 2017",Houston Astros,Los Angeles Dodgers,Start Time: 7:21 p.m. Local
"Tuesday, October 31, 2017",Los Angeles Dodgers,Houston Astros,Start Time: 5:21 p.m. Local
"Wednesday, November 1, 2017",Los Angeles Dodgers,Houston Astros,Start Time: 5:21 p.m. Local
"Tuesday, October 17, 2017",Chicago Cubs,Los Angeles Dodgers,Start Time: 8:02 p.m. Local
"Sunday, October 15, 2017",Los Angeles Dodgers,Chicago Cubs,Start Time: 4:39 p.m. Local
"Saturday, October 14, 2017",Los Angeles Dodgers,Chicago Cubs,Start Time: 5:09 p.m. Local
"Monday, October 16, 2017",New York Yankees,Houston Astros,Start Time: 8:09 p.m. Local
"Thursday, October 12, 2017",Washington Nationals,Chicago Cubs,Start Time: 8:08 p.m. Local
"Friday, October 13, 2017",Houston Astros,New York Yankees,Start Time: 7:10 p.m. Local
"Saturday, October 14, 2017",Houston Astros,New York Yankees,Start Time: 3:09 p.m. Local
"Wednesday, October 11, 2017",Cleveland Indians,New York Yankees,Start Time: 8:09 p.m. Local
"Sunday, October 8, 2017",Boston Red Sox,Houston Astros,Start Time: 2:40 p.m. Local
"Monday, October 9, 2017",Boston Red Sox,Houston Astros,Start Time: 1:09 p.m. Local
"Saturday, October 7, 2017",Washington Nationals,Chicago Cubs,Start Time: 5:39 p.m. Local
"Sunday, October 8, 2017",New York Yankees,Cleveland Indians,Start Time: 7:39 p.m. Local
"Wednesday, October 11, 2017",Chicago Cubs,Washington Nationals,Start Time: 3:10 p.m. Local
"Monday, October 9, 2017",Chicago Cubs,Washington Nationals,Start Time: 3:08 p.m. Local
"Monday, October 9, 2017",New York Yankees,Cleveland Indians,Start Time: 7:09 p.m. Local
"Monday, October 9, 2017",Arizona Diamondbacks,Los Angeles Dodgers,Start Time: 7:08 p.m. Local
"Friday, October 6, 2017",Washington Nationals,Chicago Cubs,Start Time: 7:33 p.m. Local
"Sunday, October 1, 2017",St. Louis Cardinals,Milwaukee Brewers,Start Time: 2:16 p.m. Local
"Saturday, October 7, 2017",Los Angeles Dodgers,Arizona Diamondbacks,Start Time: 6:09 p.m. Local
"Sunday, October 1, 2017",Texas Rangers,Oakland Athletics,Start Time: 2:07 p.m. Local
"Sunday, October 1, 2017",Tampa Bay Rays,Baltimore Orioles,Start Time: 3:10 p.m. Local
"Sunday, October 1, 2017",San Francisco Giants,San Diego Padres,Start Time: 12:05 p.m. Local
"Sunday, October 1, 2017",Philadelphia Phillies,New York Mets,Start Time: 3:11 p.m. Local
"Sunday, October 1, 2017",New York Yankees,Toronto Blue Jays,Start Time: 3:08 p.m. Local
"Sunday, October 1, 2017",Minnesota Twins,Detroit Tigers,Start Time: 2:51 p.m. Local
"Sunday, October 1, 2017",Kansas City Royals,Arizona Diamondbacks,Start Time: 2:16 p.m. Local
"Sunday, October 1, 2017",Colorado Rockies,Los Angeles Dodgers,Start Time: 1:10 p.m. Local
"Sunday, October 1, 2017",Miami Marlins,Atlanta Braves,Start Time: 3:12 p.m. Local
"Sunday, October 1, 2017",Chicago Cubs,Cincinnati Reds,Start Time: 2:21 p.m. Local
"Sunday, October 1, 2017",Cleveland Indians,Chicago White Sox,Start Time: 3:11 p.m. Local
"Sunday, October 1, 2017",Boston Red Sox,Houston Astros,Start Time: 3:07 p.m. Local
"Sunday, October 1, 2017",Los Angeles Angels,Seattle Mariners,Start Time: 12:07 p.m. Local
"Saturday, September 30, 2017",Washington Nationals,Pittsburgh Pirates,Start Time: 7:05 p.m. Local
"Saturday, September 30, 2017",Texas Rangers,Oakland Athletics,Start Time: 7:10 p.m. Local
"Saturday, September 30, 2017",Tampa Bay Rays,Baltimore Orioles,Start Time: 6:11 p.m. Local
"Saturday, September 30, 2017",St. Louis Cardinals,Milwaukee Brewers,Start Time: 3:15 p.m. Local
"Saturday, September 30, 2017",San Francisco Giants,San Diego Padres,Start Time: 1:05 p.m. Local
"Saturday, September 30, 2017",Philadelphia Phillies,New York Mets,Start Time: 7:08 p.m. Local
"Saturday, September 30, 2017",New York Yankees,Toronto Blue Jays,Start Time: 1:06 p.m. Local
"Saturday, September 30, 2017",Minnesota Twins,Detroit Tigers,Start Time: 6:11 p.m. Local
"Saturday, September 30, 2017",Kansas City Royals,Arizona Diamondbacks,Start Time: 6:18 p.m. Local
"Saturday, September 30, 2017",Cleveland Indians,Chicago White Sox,Start Time: 7:11 p.m. Local
"Saturday, September 30, 2017",Colorado Rockies,Los Angeles Dodgers,Start Time: 6:31 p.m. Local
"Saturday, September 30, 2017",Chicago Cubs,Cincinnati Reds,Start Time: 3:05 p.m. Local
"Saturday, September 30, 2017",Los Angeles Angels,Seattle Mariners,Start Time: 6:09 p.m. Local
"Saturday, September 30, 2017",Miami Marlins,Atlanta Braves,Start Time: 7:11 p.m. Local
"Saturday, September 30, 2017",Boston Red Sox,Houston Astros,Start Time: 1:05 p.m. Local
"Friday, September 29, 2017",Washington Nationals,Pittsburgh Pirates,Start Time: 7:06 p.m. Local
"Friday, September 29, 2017",Texas Rangers,Oakland Athletics,Start Time: 7:07 p.m. Local
"Friday, September 29, 2017",Cleveland Indians,Chicago White Sox,Start Time: 7:11 p.m. Local
"Friday, September 29, 2017",Chicago Cubs,Cincinnati Reds,Start Time: 1:22 p.m. Local
"Friday, September 29, 2017",Boston Red Sox,Houston Astros,Start Time: 7:09 p.m. Local
"Friday, September 29, 2017",Los Angeles Angels,Seattle Mariners,Start Time: 7:08 p.m. Local
"Thursday, September 28, 2017",Washington Nationals,Pittsburgh Pirates,Start Time: 7:06 p.m. Local
"Friday, September 29, 2017",Colorado Rockies,Los Angeles Dodgers,Start Time: 6:11 p.m. Local
"Thursday, September 28, 2017",Texas Rangers,Oakland Athletics,Start Time: 7:07 p.m. Local
